Lote,Endereco,link,Titulo,Descricao,Total_Fotos,Rotulo,Valor (R$),Data
Apartamento,"Goiânia / GO - Fazenda Santa Rita - Residencial Invent Total Club Avenida Trieste (Área AC-03),  s/n°",https://www.portalzuk.com.br/imovel/go/goiania/fazenda-santa-rita-_-residencial-invent-total-club/avenida-trieste-(area-ac_03)-s-n°/33483-205189,www.portalzuk.com.br,,0,1º leilão,707315.10,11/07/2025 às 11:05
Apartamento,"Goiânia / GO - Fazenda Santa Rita - Residencial Invent Total Club Avenida Trieste (Área AC-03),  s/n°",https://www.portalzuk.com.br/imovel/go/goiania/fazenda-santa-rita-_-residencial-invent-total-club/avenida-trieste-(area-ac_03)-s-n°/33483-205189,www.portalzuk.com.br,,0,2º leilão,295200.0058,14/07/2025 às 11:05
Casa,"Cuiabá / MT - Jardim Cuiabá Rua dos Girassóis,  640",https://www.portalzuk.com.br/imovel/mt/cuiaba/jardim-cuiaba/rua-dos-girassois-640/33483-205191,Apartamento à venda em leilão,,0,1º leilão,305827.47,11/07/2025 às 11:11
Casa,"Cuiabá / MT - Jardim Cuiabá Rua dos Girassóis,  640",https://www.portalzuk.com.br/imovel/mt/cuiaba/jardim-cuiaba/rua-dos-girassois-640/33483-205191,Apartamento à venda em leilão,,0,2º leilão,364019.80,14/07/2025 às 11:11
Apartamento,"Poços de Caldas / MG - Loteamento Caldense Rua Verde e Branco,  81",https://www.portalzuk.com.br/imovel/mg/pocos-de-caldas/loteamento-caldense/rua-verde-e-branco-81/33483-205192,Apartamento à venda em leilão,,0,1º leilão,354978.53,11/07/2025 às 11:14
Apartamento,"Poços de Caldas / MG - Loteamento Caldense Rua Verde e Branco,  81",https://www.portalzuk.com.br/imovel/mg/pocos-de-caldas/loteamento-caldense/rua-verde-e-branco-81/33483-205192,Apartamento à venda em leilão,,0,2º leilão,239595.2033,14/07/2025 às 11:14
Apartamento,"Teófilo Otoni / MG - São Diogo Avenida Alberto Laender,  352",https://www.portalzuk.com.br/imovel/mg/teofilo-otoni/sao-diogo/avenida-alberto-laender-352/33483-205194,www.portalzuk.com.br,,0,1º leilão,820663.19,11/07/2025 às 11:20
Apartamento,"Teófilo Otoni / MG - São Diogo Avenida Alberto Laender,  352",https://www.portalzuk.com.br/imovel/mg/teofilo-otoni/sao-diogo/avenida-alberto-laender-352/33483-205194,www.portalzuk.com.br,,0,2º leilão,322200.0061,14/07/2025 às 11:20
Apartamento,"Porto Alegre / RS - Rio Branco Rua Quintino Bocaiúva,  288",https://www.portalzuk.com.br/imovel/rs/porto-alegre/rio-branco/rua-quintino-bocaiuva-288/33483-205195,Apartamento à venda em leilão,,0,1º leilão,706061.15,11/07/2025 às 11:23
Apartamento,"Porto Alegre / RS - Rio Branco Rua Quintino Bocaiúva,  288",https://www.portalzuk.com.br/imovel/rs/porto-alegre/rio-branco/rua-quintino-bocaiuva-288/33483-205195,Apartamento à venda em leilão,,0,2º leilão,614929.3813,14/07/2025 às 11:23
Casa,"Sant'Ana do Livramento / RS - COHAB do Armour Rua Dario Farias,  35",https://www.portalzuk.com.br/imovel/rs/sant'ana-do-livramento/cohab-do-armour/rua-dario-farias-35/33483-205196,Apartamento à venda em leilão,,0,1º leilão,316994.10,11/07/2025 às 11:26
