Rotulo,Valor (R$),Data,Lote,Endereco,link,Andar,Metragem construída,Metragem privativa,Metragem terreno,Metragem total,Metragem útil,Quartos,Vagas
1º leilão,"
                      847.619,19",28/04/2025 às 11:35,Casa,"Mara Rosa / GO - Residencial Bela Vista Rua Duas Cabeceiras,  s/nº",https://www.portalzuk.com.br/imovel/go/mara-rosa/residencial-bela-vista/rua-duas-cabeceiras-s-nº-/32876-200928,,,,,,,,
2º leilão," 623.607,3026",30/04/2025 às 11:35,Casa,"Mara Rosa / GO - Residencial Bela Vista Rua Duas Cabeceiras,  s/nº",https://www.portalzuk.com.br/imovel/go/mara-rosa/residencial-bela-vista/rua-duas-cabeceiras-s-nº-/32876-200928,,,,,,,,
1º leilão,"
                      531.018,63",28/04/2025 às 11:38,Casa,"Bady Bassitt / SP - Honório Gumercindo de Moraes Rua Alcides Lanzoni,  172",https://www.portalzuk.com.br/imovel/sp/bady-bassitt/honorio-gumercindo-de-moraes/rua-alcides-lanzoni-172/32876-200929,,,,,,,,
2º leilão," 208.800,0061",30/04/2025 às 11:38,Casa,"Bady Bassitt / SP - Honório Gumercindo de Moraes Rua Alcides Lanzoni,  172",https://www.portalzuk.com.br/imovel/sp/bady-bassitt/honorio-gumercindo-de-moraes/rua-alcides-lanzoni-172/32876-200929,,,,,,,,
1º leilão,"
                      778.406,82",28/04/2025 às 11:41,Casa,"Cascavel / PR - Canadá Rua Sadi Lazari,  396",https://www.portalzuk.com.br/imovel/pr/cascavel/canada/rua-sadi-lazari-396/32876-200930,,,,,,,,
2º leilão," 384.000,0051",30/04/2025 às 11:41,Casa,"Cascavel / PR - Canadá Rua Sadi Lazari,  396",https://www.portalzuk.com.br/imovel/pr/cascavel/canada/rua-sadi-lazari-396/32876-200930,,,,,,,,
1º leilão,"
                      823.267,69",28/04/2025 às 11:44,Casa,"Patos de Minas / MG - Boa Vista Rua Pedro Vaz da Mota,  44",https://www.portalzuk.com.br/imovel/mg/patos-de-minas/boa-vista/rua-pedro-vaz-da-mota-44/32876-200931,,,,,,,,
2º leilão," 467.326,6543",30/04/2025 às 11:44,Casa,"Patos de Minas / MG - Boa Vista Rua Pedro Vaz da Mota,  44",https://www.portalzuk.com.br/imovel/mg/patos-de-minas/boa-vista/rua-pedro-vaz-da-mota-44/32876-200931,,,,,,,,
1º leilão,"
                      531.781,57",28/04/2025 às 11:47,Casa,"Presidente Prudente / SP - Brasil Novo Rua Professora Olívia Abuchala Kesrouani,  50",https://www.portalzuk.com.br/imovel/sp/presidente-prudente/brasil-novo/rua-professora-olivia-abuchala-kesrouani-50/32876-201049,,,,,,,,
2º leilão," 409.692,3723",30/04/2025 às 11:47,Casa,"Presidente Prudente / SP - Brasil Novo Rua Professora Olívia Abuchala Kesrouani,  50",https://www.portalzuk.com.br/imovel/sp/presidente-prudente/brasil-novo/rua-professora-olivia-abuchala-kesrouani-50/32876-201049,,,,,,,,
1º leilão,"
                      391.901,80",28/04/2025 às 11:50,Casa,"Marabá / PA - Nova Marabá Rua 09,  s/nº",https://www.portalzuk.com.br/imovel/pa/maraba/nova-maraba/rua-09-s-nº-/32876-201050,,,,,,,,
2º leilão," 185.107,8653",30/04/2025 às 11:50,Casa,"Marabá / PA - Nova Marabá Rua 09,  s/nº",https://www.portalzuk.com.br/imovel/pa/maraba/nova-maraba/rua-09-s-nº-/32876-201050,,,,,,,,
1º leilão,"
                      9.884.965,05",28/04/2025 às 11:53,Apartamento,"Rio de Janeiro / RJ - Barra da Tijuca Avenida Flamboyants da Península,  155",https://www.portalzuk.com.br/imovel/rj/rio-de-janeiro/barra-da-tijuca/avenida-flamboyants-da-peninsula-155/32876-201051,,,,,,,,
2º leilão," 3.424.128,4465",30/04/2025 às 11:53,Apartamento,"Rio de Janeiro / RJ - Barra da Tijuca Avenida Flamboyants da Península,  155",https://www.portalzuk.com.br/imovel/rj/rio-de-janeiro/barra-da-tijuca/avenida-flamboyants-da-peninsula-155/32876-201051,,,,,,,,
