endereco,leiloeiro,link_do_processo,tipo_leilao,url,valor
"Rodovia Marechal Rondon, KM 192,5, Dos Silvas, Conchas, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/galpoes--industriais/sp/conchas/direitos-sobre-galpao-industrial-1050-m2-area-total-dos-silvas-conchas-sp-j112464?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-galpao-industrial-1050-m2-area-total-dos-silvas-conchas-sp-j112464&utm_term=J112464&utm_content=link,300923.74
"Avenida Carlos Martins Sodero, 485, Vila Independência, Piracicaba, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/piracicaba/casa-48-m2-vila-independencia-piracicaba-sp-j112463?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-48-m2-vila-independencia-piracicaba-sp-j112463&utm_term=J112463&utm_content=link,305918.03
"Rua Vivaldo Guimarães, 15-55, Jardim Nasralla, Bauru, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/sp/bauru/sala-comercial-51-m2-bauru-sp-rua-vivaldo-guimaraes-15-55-quarteirao-15-salas-63a-jardim-nasralla-x112772?utm_source=megaleiloes&utm_medium=link&utm_campaign=sala-comercial-51-m2-bauru-sp-rua-vivaldo-guimaraes-15-55-quarteirao-15-salas-63a-jardim-nasralla-x112772&utm_term=X112772&utm_content=link,97000.00
"Rua Salvador Zangari, 382, Vila Marina, Presidente Prudente, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/sp/presidente-prudente/casa-77-m2-presidente-prudente-sp-rua-salvador-zangari-382-vila-marina-x112771?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-77-m2-presidente-prudente-sp-rua-salvador-zangari-382-vila-marina-x112771&utm_term=X112771&utm_content=link,60000.00
"Rua Nelson de Oliveira Guimarães, 144, Jardim Eldorado, Santa Cruz do Rio Pardo, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/santa-cruz-do-rio-pardo/parte-ideal-sobre-casa-69-m2-jardim-eldorado-santa-cruz-do-rio-pardo-sp-j112494?utm_source=megaleiloes&utm_medium=link&utm_campaign=parte-ideal-sobre-casa-69-m2-jardim-eldorado-santa-cruz-do-rio-pardo-sp-j112494&utm_term=J112494&utm_content=link,87579.98
"Avenida 3, 2550, Jardim América, Barretos, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/sp/barretos/casa-149-m2-jardim-america-barretos-sp-x112547?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-149-m2-jardim-america-barretos-sp-x112547&utm_term=X112547&utm_content=link,270000.00
"Rua B-2, Lt 166 da Qd 18, Jardim Primavera, Salgueiro, PE",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/pe/salgueiro/terreno-360-m2-lt-166-da-qd-18-jardim-primavera-salgueiro-pe-j112489?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-360-m2-lt-166-da-qd-18-jardim-primavera-salgueiro-pe-j112489&utm_term=J112489&utm_content=link,129130.07
"Rua Gilda Junqueira Villela, 65, Conjunto Habitacional Francisco José de Oliveira Ratto, Lins, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/lins/casa-34-m2-conj-hab-francisco-jose-de-oliveira-ratto-lins-sp-j111870?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-34-m2-conj-hab-francisco-jose-de-oliveira-ratto-lins-sp-j111870&utm_term=J111870&utm_content=link,72116.37
"Rua B-2, Lt 167 da Qd 18, Jardim Primavera, Salgueiro, PE",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/terrenos-e-lotes/pe/salgueiro/terreno-360-m2-lt-167-da-qd-18-jardim-primavera-salgueiro-pe-j112490?utm_source=megaleiloes&utm_medium=link&utm_campaign=terreno-360-m2-lt-167-da-qd-18-jardim-primavera-salgueiro-pe-j112490&utm_term=J112490&utm_content=link,129130.07
"Avenida Pedroso de Morais, 1323, Pinheiros, São Paulo, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/imoveis-comerciais/sp/sao-paulo/imovel-comercial-409-m2-pinheiros-sao-paulo-sp-j112469?utm_source=megaleiloes&utm_medium=link&utm_campaign=imovel-comercial-409-m2-pinheiros-sao-paulo-sp-j112469&utm_term=J112469&utm_content=link,5513837.78
"Rua Conselheiro Furtado, 1265, Aclimação, São Paulo, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/sao-paulo/apartamento-43-m2-01-vaga-aclimacao-sao-paulo-sp-x113203?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-43-m2-01-vaga-aclimacao-sao-paulo-sp-x113203&utm_term=X113203&utm_content=link,514989.86
"Estrada Professora Olinda de Almeida Mercadante, 1819, Residencial Alto do Jequitibá, Jacareí, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/casas/sp/jacarei/casa-em-condominio-50-m2-02-vagas-residencial-alto-do-jequitiba-jacarei-sp-x112488?utm_source=megaleiloes&utm_medium=link&utm_campaign=casa-em-condominio-50-m2-02-vagas-residencial-alto-do-jequitiba-jacarei-sp-x112488&utm_term=X112488&utm_content=link,144009.76
"Rua Manuel Onha, 208, Vila Oratório, São Paulo, SP",Fernando José Cerello G. Pereira (JUCESP Nº 844),N/A,Judicial,https://www.megaleiloes.com.br/imoveis/casas/sp/sao-paulo/direitos-sobre-casa-360-m2-vila-oratorio-sao-paulo-sp-j110792?utm_source=megaleiloes&utm_medium=link&utm_campaign=direitos-sobre-casa-360-m2-vila-oratorio-sao-paulo-sp-j110792&utm_term=J110792&utm_content=link,1028389.46
"Avenida Washington Luís, 556, Boqueirão, Santos, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/santos/apartamento-302-m2-area-total-praia-do-boqueirao-santos-sp-x113227?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-302-m2-area-total-praia-do-boqueirao-santos-sp-x113227&utm_term=X113227&utm_content=link,1643262.30
"Avenida das Palmeiras, 250, Portais (Polvilho), Cajamar, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/cajamar/apartamento-56-m2-01-vaga-polvilho-cajamar-sp-x112776?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-56-m2-01-vaga-polvilho-cajamar-sp-x112776&utm_term=X112776&utm_content=link,172000.00
"Avenida Dom Pedro II, 3104, Campestre, Santo André, SP",N/A,N/A,Extrajudicial,https://www.megaleiloes.com.br/imoveis/apartamentos/sp/santo-andre/apartamento-82-m2-02-vagas-campestre-santo-andre-sp-x113253?utm_source=megaleiloes&utm_medium=link&utm_campaign=apartamento-82-m2-02-vagas-campestre-santo-andre-sp-x113253&utm_term=X113253&utm_content=link,947847.56
